time,.topic_brake,.position_brake,.is_move_brake,.topic_dir,.current_position_dir,.enable_dir,.is_limit_right_dir,.is_limit_left_dir,.topic_accel,.enable_accel,.pwm_accel,.voltage_accel
2024/06/03/16:09:52.246040,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.262366,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.282358,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.300335,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.317769,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.333161,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.349663,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.369458,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.381247,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.402807,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.419228,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.436706,puma/brake/command,0,False,puma/direction/command,360,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.452281,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.472214,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.484994,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.504533,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.518709,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.535171,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.552219,puma/brake/command,0,False,puma/direction/command,360,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.567879,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.592120,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.605766,puma/brake/command,0,False,puma/direction/command,359,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.622232,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.640033,puma/brake/command,0,False,puma/direction/command,360,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.656428,puma/brake/command,0,False,puma/direction/command,360,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.671265,puma/brake/command,0,False,puma/direction/command,364,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.688167,puma/brake/command,0,False,puma/direction/command,360,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.709776,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.726172,puma/brake/command,0,False,puma/direction/command,361,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.742735,puma/brake/command,0,False,puma/direction/command,363,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.760459,puma/brake/command,0,False,puma/direction/command,360,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.775332,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.791662,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
2024/06/03/16:09:52.808393,puma/brake/command,0,False,puma/direction/command,362,False,False,False,puma/accelerator/command,False,43,0.843137264251709
