time,.data
2024/06/03/16:10:08.849390,0
2024/06/03/16:10:08.867550,0
2024/06/03/16:10:08.882742,0
2024/06/03/16:10:08.899002,0
2024/06/03/16:10:08.915541,0
2024/06/03/16:10:08.933528,0
2024/06/03/16:10:08.949806,0
2024/06/03/16:10:08.964533,0
2024/06/03/16:10:08.982146,0
2024/06/03/16:10:08.999747,0
2024/06/03/16:10:09.015657,0
2024/06/03/16:10:09.031270,0
2024/06/03/16:10:09.047405,0
2024/06/03/16:10:09.065337,0
2024/06/03/16:10:09.082694,0
2024/06/03/16:10:09.097315,0
2024/06/03/16:10:09.115577,0
2024/06/03/16:10:09.132267,0
2024/06/03/16:10:09.151179,0
2024/06/03/16:10:09.165284,0
2024/06/03/16:10:09.180904,0
2024/06/03/16:10:09.198779,0
2024/06/03/16:10:09.216310,0
2024/06/03/16:10:09.232592,0
2024/06/03/16:10:09.249824,0
2024/06/03/16:10:09.263797,0
2024/06/03/16:10:09.281459,0
2024/06/03/16:10:09.299058,0
2024/06/03/16:10:09.316177,0
2024/06/03/16:10:09.331781,0
2024/06/03/16:10:09.349584,0
2024/06/03/16:10:09.366393,0
2024/06/03/16:10:09.381889,0
2024/06/03/16:10:09.397943,0
2024/06/03/16:10:09.414955,0
2024/06/03/16:10:09.433877,0
2024/06/03/16:10:09.448983,0
2024/06/03/16:10:09.464811,0
2024/06/03/16:10:09.483540,0
2024/06/03/16:10:09.501603,0
2024/06/03/16:10:09.517216,0
2024/06/03/16:10:09.533499,0
2024/06/03/16:10:09.548870,0
2024/06/03/16:10:09.564671,0
2024/06/03/16:10:09.581924,0
2024/06/03/16:10:09.598550,0
2024/06/03/16:10:09.615875,0
2024/06/03/16:10:09.631411,0
2024/06/03/16:10:09.651071,0
2024/06/03/16:10:09.664732,0
2024/06/03/16:10:09.684477,0
2024/06/03/16:10:09.701966,0
2024/06/03/16:10:09.716004,0
2024/06/03/16:10:09.732237,0
2024/06/03/16:10:09.748782,0
2024/06/03/16:10:09.765254,0
2024/06/03/16:10:09.783022,0
2024/06/03/16:10:09.799355,0
2024/06/03/16:10:09.815935,0
2024/06/03/16:10:09.831511,0
2024/06/03/16:10:09.849602,0
2024/06/03/16:10:09.865200,0
2024/06/03/16:10:09.882779,0
2024/06/03/16:10:09.898080,0
2024/06/03/16:10:09.915130,0
2024/06/03/16:10:09.932697,0
2024/06/03/16:10:09.949044,0
2024/06/03/16:10:09.967267,0
2024/06/03/16:10:09.983691,0
2024/06/03/16:10:10.002351,0
2024/06/03/16:10:10.016671,0
2024/06/03/16:10:10.033597,0
2024/06/03/16:10:10.050231,0
2024/06/03/16:10:10.067412,0
2024/06/03/16:10:10.081656,0
2024/06/03/16:10:10.098638,0
2024/06/03/16:10:10.114642,0
2024/06/03/16:10:10.132958,0
2024/06/03/16:10:10.149565,0
2024/06/03/16:10:10.167553,0
2024/06/03/16:10:10.181789,0
2024/06/03/16:10:10.199971,0
2024/06/03/16:10:10.218868,0
2024/06/03/16:10:10.234089,0
2024/06/03/16:10:10.249723,0
2024/06/03/16:10:10.266342,0
2024/06/03/16:10:10.282710,0
2024/06/03/16:10:10.297560,0
2024/06/03/16:10:10.315078,0
2024/06/03/16:10:10.330916,0
2024/06/03/16:10:10.348740,0
2024/06/03/16:10:10.366309,0
2024/06/03/16:10:10.382111,0
2024/06/03/16:10:10.399458,0
2024/06/03/16:10:10.415938,0
2024/06/03/16:10:10.432540,0
2024/06/03/16:10:10.448895,0
2024/06/03/16:10:10.479642,0
2024/06/03/16:10:10.486338,0
2024/06/03/16:10:10.502818,0
2024/06/03/16:10:10.515006,0
2024/06/03/16:10:10.533141,0
2024/06/03/16:10:10.549079,0
2024/06/03/16:10:10.566019,0
2024/06/03/16:10:10.581846,0
2024/06/03/16:10:10.599398,0
2024/06/03/16:10:10.615522,0
2024/06/03/16:10:10.632546,0
2024/06/03/16:10:10.649196,0
2024/06/03/16:10:10.665702,0
2024/06/03/16:10:10.681772,0
2024/06/03/16:10:10.699152,0
2024/06/03/16:10:10.715599,0
2024/06/03/16:10:10.732233,0
2024/06/03/16:10:10.748630,0
2024/06/03/16:10:10.764724,0
2024/06/03/16:10:10.781989,0
2024/06/03/16:10:10.798946,0
2024/06/03/16:10:10.816612,0
2024/06/03/16:10:10.832914,0
2024/06/03/16:10:10.848830,0
2024/06/03/16:10:10.867127,0
2024/06/03/16:10:10.882562,1
2024/06/03/16:10:10.900962,2
2024/06/03/16:10:10.916464,2
2024/06/03/16:10:10.933007,2
2024/06/03/16:10:10.949302,2
2024/06/03/16:10:10.966499,2
2024/06/03/16:10:10.981836,2
2024/06/03/16:10:10.999988,3
2024/06/03/16:10:11.021898,3
2024/06/03/16:10:11.032894,3
2024/06/03/16:10:11.048281,3
2024/06/03/16:10:11.065992,3
2024/06/03/16:10:11.082801,3
2024/06/03/16:10:11.098798,2
2024/06/03/16:10:11.115263,2
2024/06/03/16:10:11.132125,2
2024/06/03/16:10:11.148984,2
2024/06/03/16:10:11.164062,2
2024/06/03/16:10:11.181801,2
2024/06/03/16:10:11.199789,2
2024/06/03/16:10:11.215792,2
2024/06/03/16:10:11.231557,2
2024/06/03/16:10:11.248953,2
2024/06/03/16:10:11.266011,2
2024/06/03/16:10:11.282799,2
2024/06/03/16:10:11.298977,2
2024/06/03/16:10:11.315572,2
2024/06/03/16:10:11.332592,3
2024/06/03/16:10:11.348742,3
2024/06/03/16:10:11.365339,4
2024/06/03/16:10:11.382267,4
2024/06/03/16:10:11.398704,4
2024/06/03/16:10:11.416045,4
2024/06/03/16:10:11.432634,4
2024/06/03/16:10:11.448334,4
2024/06/03/16:10:11.466037,4
2024/06/03/16:10:11.482688,4
2024/06/03/16:10:11.498828,4
2024/06/03/16:10:11.515975,5
2024/06/03/16:10:11.532144,5
2024/06/03/16:10:11.549430,6
2024/06/03/16:10:11.566822,6
2024/06/03/16:10:11.581989,7
2024/06/03/16:10:11.601562,7
2024/06/03/16:10:11.617027,7
2024/06/03/16:10:11.634799,7
2024/06/03/16:10:11.649627,8
2024/06/03/16:10:11.666259,8
2024/06/03/16:10:11.681581,8
2024/06/03/16:10:11.699363,8
2024/06/03/16:10:11.717196,8
2024/06/03/16:10:11.733130,8
2024/06/03/16:10:11.749521,8
2024/06/03/16:10:11.768530,8
2024/06/03/16:10:11.784063,8
2024/06/03/16:10:11.800304,8
2024/06/03/16:10:11.818205,8
2024/06/03/16:10:11.833037,8
2024/06/03/16:10:11.850408,8
2024/06/03/16:10:11.866793,8
2024/06/03/16:10:11.882616,8
2024/06/03/16:10:11.899258,8
2024/06/03/16:10:11.915376,8
2024/06/03/16:10:11.932543,8
2024/06/03/16:10:11.948327,8
2024/06/03/16:10:11.966408,8
2024/06/03/16:10:11.983270,8
2024/06/03/16:10:11.999691,8
2024/06/03/16:10:12.017981,8
2024/06/03/16:10:12.032213,8
2024/06/03/16:10:12.049726,8
2024/06/03/16:10:12.065710,8
2024/06/03/16:10:12.081729,8
2024/06/03/16:10:12.097930,8
2024/06/03/16:10:12.115047,8
2024/06/03/16:10:12.131931,8
2024/06/03/16:10:12.147925,8
2024/06/03/16:10:12.165328,8
2024/06/03/16:10:12.182201,8
2024/06/03/16:10:12.198706,8
2024/06/03/16:10:12.215233,8
2024/06/03/16:10:12.232457,8
