time,.pulsos,.time_millis
2024/06/03/16:09:52.116099,0,500
2024/06/03/16:09:52.625626,0,500
2024/06/03/16:09:53.136554,0,500
2024/06/03/16:09:53.645562,0,500
2024/06/03/16:09:54.155511,0,500
2024/06/03/16:09:54.668329,0,500
2024/06/03/16:09:55.183063,0,500
2024/06/03/16:09:55.688987,0,500
2024/06/03/16:09:56.206743,0,500
2024/06/03/16:09:56.712410,0,500
2024/06/03/16:09:57.220773,0,500
2024/06/03/16:09:57.738193,0,500
2024/06/03/16:09:58.245829,0,500
2024/06/03/16:09:58.753632,0,500
2024/06/03/16:09:59.266677,0,500
2024/06/03/16:09:59.775184,0,500
2024/06/03/16:10:00.289909,0,500
2024/06/03/16:10:00.800742,0,500
2024/06/03/16:10:01.309463,0,500
2024/06/03/16:10:01.821255,0,500
2024/06/03/16:10:02.334990,0,500
2024/06/03/16:10:02.843894,0,500
2024/06/03/16:10:03.354573,0,500
2024/06/03/16:10:03.869295,0,500
2024/06/03/16:10:04.373448,0,500
2024/06/03/16:10:04.889742,0,500
2024/06/03/16:10:05.401955,0,500
2024/06/03/16:10:05.907344,0,500
2024/06/03/16:10:06.418416,0,500
2024/06/03/16:10:06.928590,0,500
2024/06/03/16:10:07.442288,0,500
2024/06/03/16:10:07.954312,0,500
2024/06/03/16:10:08.468587,0,500
2024/06/03/16:10:08.974995,0,500
2024/06/03/16:10:09.484293,0,500
2024/06/03/16:10:09.999857,0,500
2024/06/03/16:10:10.510255,0,500
2024/06/03/16:10:11.017024,0,500
2024/06/03/16:10:11.528616,0,500
2024/06/03/16:10:12.037891,0,500
2024/06/03/16:10:12.553154,0,500
2024/06/03/16:10:13.061988,0,500
2024/06/03/16:10:13.572330,0,500
2024/06/03/16:10:14.089959,0,500
2024/06/03/16:10:14.595055,0,500
2024/06/03/16:10:15.105833,1,500
2024/06/03/16:10:15.618039,4,500
2024/06/03/16:10:16.128781,2,500
2024/06/03/16:10:16.635296,2,500
2024/06/03/16:10:17.151070,2,500
2024/06/03/16:10:17.661207,1,500
2024/06/03/16:10:18.170569,4,500
2024/06/03/16:10:18.684183,3,500
2024/06/03/16:10:19.191799,1,500
2024/06/03/16:10:19.703305,2,500
2024/06/03/16:10:20.215228,2,500
2024/06/03/16:10:20.728598,1,500
2024/06/03/16:10:21.238570,2,500
2024/06/03/16:10:21.747366,2,500
2024/06/03/16:10:22.257127,2,500
2024/06/03/16:10:22.771186,1,500
2024/06/03/16:10:23.281011,1,500
2024/06/03/16:10:23.792534,2,500
2024/06/03/16:10:24.302709,2,500
2024/06/03/16:10:24.816837,1,500
2024/06/03/16:10:25.325212,2,500
2024/06/03/16:10:25.835799,2,500
2024/06/03/16:10:26.346579,1,500
2024/06/03/16:10:26.855824,3,500
2024/06/03/16:10:27.367546,4,500
2024/06/03/16:10:27.884775,2,500
2024/06/03/16:10:28.391236,1,500
2024/06/03/16:10:28.898865,3,500
2024/06/03/16:10:29.410203,1,500
2024/06/03/16:10:29.922228,3,500
2024/06/03/16:10:30.431847,1,500
2024/06/03/16:10:30.943970,2,500
2024/06/03/16:10:31.454886,1,500
2024/06/03/16:10:31.967491,2,500
2024/06/03/16:10:32.474351,1,500
2024/06/03/16:10:32.993241,2,500
2024/06/03/16:10:33.501323,2,500
2024/06/03/16:10:34.009749,2,500
2024/06/03/16:10:34.521771,2,500
2024/06/03/16:10:35.031374,4,500
2024/06/03/16:10:35.541664,3,500
2024/06/03/16:10:36.054146,2,500
2024/06/03/16:10:36.564009,3,500
2024/06/03/16:10:37.084018,5,500
2024/06/03/16:10:37.586376,2,500
2024/06/03/16:10:38.100070,3,500
2024/06/03/16:10:38.613657,4,500
2024/06/03/16:10:39.120930,4,500
2024/06/03/16:10:39.632523,4,500
2024/06/03/16:10:40.139931,4,500
2024/06/03/16:10:40.658969,3,500
2024/06/03/16:10:41.162396,4,500
2024/06/03/16:10:41.675101,2,500
2024/06/03/16:10:42.183853,4,500
2024/06/03/16:10:42.699588,6,500
2024/06/03/16:10:43.207032,3,500
2024/06/03/16:10:43.718891,4,500
2024/06/03/16:10:44.229694,2,500
2024/06/03/16:10:44.738816,3,500
2024/06/03/16:10:45.253974,5,500
2024/06/03/16:10:45.765577,3,500
2024/06/03/16:10:46.273849,4,500
2024/06/03/16:10:46.780779,3,500
2024/06/03/16:10:47.293166,2,500
2024/06/03/16:10:47.805716,3,500
2024/06/03/16:10:48.319526,4,500
2024/06/03/16:10:48.826723,2,500
2024/06/03/16:10:49.339493,5,500
2024/06/03/16:10:49.854536,3,500
2024/06/03/16:10:50.359978,4,500
2024/06/03/16:10:50.875643,4,500
2024/06/03/16:10:51.381245,4,500
2024/06/03/16:10:51.891308,3,500
2024/06/03/16:10:52.403843,4,500
2024/06/03/16:10:52.915829,6,500
2024/06/03/16:10:53.426560,3,500
2024/06/03/16:10:53.937020,5,500
2024/06/03/16:10:54.446494,4,500
2024/06/03/16:10:54.958596,5,500
2024/06/03/16:10:55.472603,5,500
2024/06/03/16:10:55.983379,5,500
2024/06/03/16:10:56.494849,5,500
2024/06/03/16:10:57.004654,5,500
2024/06/03/16:10:57.510856,4,500
2024/06/03/16:10:58.024835,8,500
2024/06/03/16:10:58.536502,5,500
2024/06/03/16:10:59.045471,6,500
2024/06/03/16:10:59.556279,5,500
2024/06/03/16:11:00.067113,5,500
2024/06/03/16:11:00.579784,5,500
2024/06/03/16:11:01.094649,5,500
2024/06/03/16:11:01.604297,8,500
2024/06/03/16:11:02.111693,5,500
2024/06/03/16:11:02.620668,5,500
2024/06/03/16:11:03.137836,5,500
2024/06/03/16:11:03.644835,7,500
2024/06/03/16:11:04.154843,4,500
2024/06/03/16:11:04.667662,7,500
2024/06/03/16:11:05.181378,7,500
2024/06/03/16:11:05.688499,5,500
2024/06/03/16:11:06.201620,5,500
2024/06/03/16:11:06.708255,5,500
2024/06/03/16:11:07.221869,5,500
2024/06/03/16:11:07.728987,5,500
2024/06/03/16:11:08.243404,6,500
2024/06/03/16:11:08.754878,5,500
2024/06/03/16:11:09.264758,4,500
2024/06/03/16:11:09.773906,8,500
2024/06/03/16:11:10.288879,6,500
2024/06/03/16:11:10.801358,7,500
2024/06/03/16:11:11.306677,5,500
2024/06/03/16:11:11.818612,6,500
2024/06/03/16:11:12.328279,6,500
2024/06/03/16:11:12.843495,5,500
2024/06/03/16:11:13.353839,7,500
2024/06/03/16:11:13.871883,5,500
2024/06/03/16:11:14.374972,7,500
2024/06/03/16:11:14.885289,8,500
2024/06/03/16:11:15.393369,5,500
2024/06/03/16:11:15.909561,7,500
2024/06/03/16:11:16.419193,7,500
2024/06/03/16:11:16.927940,7,500
2024/06/03/16:11:17.438760,11,500
2024/06/03/16:11:17.950090,9,500
2024/06/03/16:11:18.461513,9,500
2024/06/03/16:11:18.973505,7,500
2024/06/03/16:11:19.485648,7,500
2024/06/03/16:11:19.994682,6,500
